product_id,display_name,category,sub_category,color,gender,season,usage,image_filename
P001,Classic White Tee,Apparel,Tshirts,White,Men,Summer,Casual,10001.jpg
P002,Essential Black Tee,Apparel,Tshirts,Black,Men,Fall,Casual,10002.jpg
P003,Navy Crew Neck Tee,Apparel,Tshirts,Navy,Men,Summer,Casual,10003.jpg
P004,Heather Grey V-Neck,Apparel,Tshirts,Grey,Men,Spring,Casual,10004.jpg
P005,Red Athletic Tee,Apparel,Tshirts,Red,Men,Summer,Sports,10005.jpg
P006,Organic White Tee,Apparel,Tshirts,White,Women,Summer,Casual,10006.jpg
P007,Fitted Black Tee,Apparel,Tshirts,Black,Women,Fall,Casual,10007.jpg
P008,Soft Pink Tee,Apparel,Tshirts,Pink,Women,Spring,Casual,10008.jpg
P009,Sky Blue Relaxed Tee,Apparel,Tshirts,Blue,Women,Summer,Casual,10009.jpg
P010,Oversized Grey Tee,Apparel,Tshirts,Grey,Unisex,Fall,Casual,10010.jpg
P011,Classic White Oxford,Apparel,Shirts,White,Men,Summer,Formal,10011.jpg
P012,Light Blue Oxford,Apparel,Shirts,Blue,Men,Spring,Formal,10012.jpg
P013,Navy Slim Fit Dress Shirt,Apparel,Shirts,Navy,Men,Fall,Formal,10013.jpg
P014,Black Formal Shirt,Apparel,Shirts,Black,Men,Winter,Formal,10014.jpg
P015,Pink Linen Shirt,Apparel,Shirts,Pink,Men,Summer,Casual,10015.jpg
P016,Classic White Blouse,Apparel,Shirts,White,Women,Summer,Formal,10016.jpg
P017,Denim Shirt,Apparel,Shirts,Blue,Women,Spring,Casual,10017.jpg
P018,Black Silk Blouse,Apparel,Shirts,Black,Women,Fall,Formal,10018.jpg
P019,Pink Button-Down,Apparel,Shirts,Pink,Women,Summer,Casual,10019.jpg
P020,Grey Chambray Shirt,Apparel,Shirts,Grey,Men,Spring,Casual,10020.jpg
P021,Black Leather Biker Jacket,Apparel,Jackets,Black,Men,Winter,Casual,10021.jpg
P022,Navy Bomber Jacket,Apparel,Jackets,Navy,Men,Fall,Casual,10022.jpg
P023,Grey Wool Blazer,Apparel,Jackets,Grey,Men,Winter,Formal,10023.jpg
P024,Brown Suede Trucker,Apparel,Jackets,Brown,Men,Fall,Casual,10024.jpg
P025,Olive Field Jacket,Apparel,Jackets,Olive,Men,Spring,Casual,10025.jpg
P026,Black Wool Coat,Apparel,Jackets,Black,Women,Winter,Formal,10026.jpg
P027,Beige Trench Coat,Apparel,Jackets,Beige,Women,Fall,Casual,10027.jpg
P028,Pink Denim Jacket,Apparel,Jackets,Pink,Women,Spring,Casual,10028.jpg
P029,Navy Quilted Puffer,Apparel,Jackets,Navy,Women,Fall,Casual,10029.jpg
P030,Oversized Grey Blazer,Apparel,Jackets,Grey,Women,Winter,Casual,10030.jpg
P031,Classic Blue Straight Jeans,Apparel,Jeans,Blue,Men,Fall,Casual,10031.jpg
P032,Black Skinny Jeans,Apparel,Jeans,Black,Men,Winter,Casual,10032.jpg
P033,Dark Wash Slim Jeans,Apparel,Jeans,Dark Blue,Men,Fall,Casual,10033.jpg
P034,Light Wash Relaxed Jeans,Apparel,Jeans,Light Blue,Men,Summer,Casual,10034.jpg
P035,Grey Tapered Jeans,Apparel,Jeans,Grey,Men,Spring,Casual,10035.jpg
P036,High Rise Blue Jeans,Apparel,Jeans,Blue,Women,Fall,Casual,10036.jpg
P037,Black High Waist Skinny,Apparel,Jeans,Black,Women,Winter,Casual,10037.jpg
P038,Mom Fit Light Jeans,Apparel,Jeans,Light Blue,Women,Summer,Casual,10038.jpg
P039,Dark Blue Bootcut,Apparel,Jeans,Dark Blue,Women,Fall,Casual,10039.jpg
P040,White High Rise Jeans,Apparel,Jeans,White,Women,Summer,Casual,10040.jpg
P041,Black Wool Trousers,Apparel,Trousers,Black,Men,Winter,Formal,10041.jpg
P042,Navy Cotton Chinos,Apparel,Trousers,Navy,Men,Fall,Formal,10042.jpg
P043,Grey Flat Front Slacks,Apparel,Trousers,Grey,Men,Spring,Formal,10043.jpg
P044,Khaki Cotton Chinos,Apparel,Trousers,Khaki,Men,Summer,Casual,10044.jpg
P045,Beige Linen Trousers,Apparel,Trousers,Beige,Men,Spring,Casual,10045.jpg
P046,Black Tailored Pants,Apparel,Trousers,Black,Women,Winter,Formal,10046.jpg
P047,Navy Wide Leg Pants,Apparel,Trousers,Navy,Women,Fall,Formal,10047.jpg
P048,White Linen Trousers,Apparel,Trousers,White,Women,Summer,Casual,10048.jpg
P049,Beige High Waist Chinos,Apparel,Trousers,Beige,Women,Spring,Casual,10049.jpg
P050,Grey Wool Dress Pants,Apparel,Trousers,Grey,Women,Winter,Formal,10050.jpg
P051,Black Little Dress,Apparel,Dresses,Black,Women,Fall,Party,10051.jpg
P052,Red Evening Dress,Apparel,Dresses,Red,Women,Winter,Party,10052.jpg
P053,Blue Denim Shirt Dress,Apparel,Dresses,Blue,Women,Summer,Casual,10053.jpg
P054,White Summer Dress,Apparel,Dresses,White,Women,Summer,Casual,10054.jpg
P055,Pink Floral Dress,Apparel,Dresses,Pink,Women,Spring,Party,10055.jpg
P056,Navy Midi Work Dress,Apparel,Dresses,Navy,Women,Fall,Formal,10056.jpg
P057,Green Maxi Dress,Apparel,Dresses,Green,Women,Summer,Casual,10057.jpg
P058,Purple Wrap Dress,Apparel,Dresses,Purple,Women,Spring,Party,10058.jpg
P059,Beige Linen Midi Dress,Apparel,Dresses,Beige,Women,Spring,Casual,10059.jpg
P060,Black Sheath Dress,Apparel,Dresses,Black,Women,Winter,Formal,10060.jpg
P061,White Leather Sneakers,Footwear,Casual Shoes,White,Men,Summer,Casual,10061.jpg
P062,Black Canvas Slip-Ons,Footwear,Casual Shoes,Black,Men,Fall,Casual,10062.jpg
P063,Brown Leather Loafers,Footwear,Casual Shoes,Brown,Men,Spring,Casual,10063.jpg
